DATE;NOM;GENRE;HOMME;FEMME;AGE;AGE2;DOMICILE;ADRESSE;PERP;LIEU;MULTIPLE;BLESSÉS;ESPACE PUBLIC;LOCALISATION POST-MORTEM;CALCINÉS;CAUSE DU DÉCÈS;FUSILLADE;ATTACHÉ;TRACES DE TORTURE;MUTILATION;ENCOBIJADO/ENTEIPADO;MESSAGE;QUALIFICATION;ORIGINE DU DÉFUNT;COMMENTAIRE
05-Mar;1;1;1;0;1;13;1;Col. Heroes;0;HOPITAL À HERMOSILLO, SONORA;1;0;1;0;0;1;1;0;0;0;0;0;0;;BLESSÉ LE 23 FEV.
05-Mar;1;1;1;0;1;26;;;0;;0;0;0;0;0;1;0;0;0;0;0;0;0;;
08-Mar;1;1;1;0;1;25;;;0;MONTAÑAS POR EL EJIDO LA ARIZONA;0;0;1;1;0;1;0;0;0;0;0;0;0;MAGDALENA DE KINO;EMPLOYÉ DU RANCHO LAS BORREGAS
10-Mar;1;1;1;0;1;25;;;0;PREDIO POR RANCHO LA ESCONDIDA;0;0;1;1;0;0;0;1;0;0;1;0;0;;ATTACHÉ PIEDS ET MAINS, VISAGE ENTEIPADO
15-Mar;0;0;0;0;0;;;;0;C. PRIVADA CAMINO DE LOS PASTORES, COL. LOMAS DE FÁTIMA;1;0;1;1;0;0;0;1;0;0;1;0;0;;ATTACHÉ PIEDS ET MAINS, VISAGE ENTEIPADO
15-Mar;0;0;0;0;0;;;;0;C. PRIVADA CAMINO DE LOS PASTORES, COL. LOMAS DE FÁTIMA;1;0;1;1;0;0;0;1;0;0;1;0;0;;ATTACHÉ PIEDS ET MAINS, VISAGE ENTEIPADO
15-Mar;0;0;0;0;0;;;;0;C. PRIVADA CAMINO DE LOS PASTORES, COL. LOMAS DE FÁTIMA;1;0;1;1;0;0;0;1;0;0;1;0;0;;ATTACHÉ PIEDS ET MAINS, VISAGE ENTEIPADO
15-Mar;0;0;0;0;0;;;;0;C. PRIVADA CAMINO DE LOS PASTORES, COL. LOMAS DE FÁTIMA;1;0;1;1;0;0;0;1;0;0;1;0;0;;ATTACHÉ PIEDS ET MAINS, VISAGE ENTEIPADO
16-Mar;0;0;0;0;0;;;;0;POR CERESO DOS;0;0;1;1;0;2;0;0;0;0;1;0;1;;
18-Mar;1;1;1;0;1;33;;;0;AV. MEDITERRANEO, COL. MEDITERRANEO;0;0;2;0;0;1;1;0;0;0;0;0;1;;TUÉ DEVANT SON DOMICILE
19-Mar;1;1;1;0;1;25;;;0;C. ACRÓPOLIS, COL. KALITEA;0;0;1;1;0;0;0;0;0;0;1;1;0;;
23-Mar;1;1;1;0;1;22;1;Col. FOVISSTE 2;0;C. PANAMA, COL. OBRERA;1;0;1;1;0;2;0;0;0;0;0;0;1;NOGALES;
23-Mar;1;1;1;0;1;35;1;Col. Centro;0;C. PANAMA, COL. OBRERA;1;0;1;1;0;2;0;0;0;0;0;0;1;;
25-Mar;1;1;1;0;0;;;;0;PERI. COLOSIO Y ACCESO AL SORIANA;1;0;1;0;0;1;1;0;0;0;0;0;1;;SUBJEFE DE POLICIA PREVENTIVA Y TRÁNSITO MUNICIPAL 
25-Mar;1;1;1;0;0;;;;0;PERI. COLOSIO Y ACCESO AL SORIANA;1;0;1;0;0;1;1;0;0;0;0;0;1;;ESCOLTA DEL SUBJEFE DE POLICIA PREVENTIVA Y TRÁNSITO MUNICIPAL
28-Mar;1;1;1;0;1;19;1;Col. Empalme-Nogales;0;COL. EMPALME-NOGALES;0;0;0;0;0;1;1;0;0;0;0;0;1;;TUÉ DANS SON DOMICILE
29-Mar;1;1;1;0;1;37;1;Col. Margarita Maza de Juarez;1;C. MARIANO ESCOBEDO E IGNACIO ZARAGOZA, COL. MARGARITA MAZA DE JUAREZ;0;0;1;0;0;4;0;0;0;0;0;0;0;;A RAÍZ DE UN PLEITO POR UNA BOTELLA DE LICOR
31-Mar;1;1;1;0;0;;;;0;POR EJIDO LA ARIZONA, CAMINO AL SÁRIC;1;0;1;1;0;1;1;0;0;0;0;0;0;;SUBDELEGADO DE TRANSPORTE, CERCA DE UNA CAMIONETA PROPIEDAD DEL GOB. DEL ESTADO, UN MUERTO NO ID EN UNA CAMIONETA, 2000 CARTUCHOS PERCUTIDOS, 5 CARROS QUEMADOS
31-Mar;1;1;1;0;0;;;;0;POR EJIDO LA ARIZONA, CAMINO AL SÁRIC;1;0;1;1;0;1;1;0;0;0;0;0;0;;CERCA DE UNA CAMIONETA PROPIEDAD DEL GOB. DEL ESTADO, UN MUERTO NO ID EN UNA CAMIONETA, 2000 CARTUCHOS PERCUTIDOS, 5 CARROS QUEMADOS
31-Mar;0;0;0;0;0;;;;0;POR EJIDO LA ARIZONA, CAMINO AL SÁRIC;1;0;1;2;0;1;1;0;0;0;0;0;0;;EN UNA CAMIONETA, CERCA DE UNA CAMIONETA PROPIEDAD DEL GOB. DEL ESTADO, 2000 CARTUCHOS PERCUTIDOS, 5 CARROS QUEMADOS
01-Apr;0;1;1;0;0;;;;0;C. HUATABAMPO, COL. PEÑALOZA;0;0;1;1;0;3;0;0;0;0;0;0;0;;"PERP. DU VERACRUZ, SDF, DÉPORTÉ 2 SEMAINES PLUS TÔT, CONSOMMAIENT DES DROGUES ENSEMBLE, ""EL DIABLO"" AURAIT ORDONNÉ L'ASSASSINAT"
